date,miles,rank,delta
2021-04-24,48.79267277268943,126.0,-77.20732722731057
2018-12-25,48.69157542843651,127.0,-78.30842457156349
2019-06-30,48.35970024979184,128.0,-79.64029975020816
2016-08-13,48.04509923322604,129.0,-80.95490076677396
2018-09-07,47.8711148669641,130.0,-82.12888513303591
2018-10-13,47.554774006735684,131.0,-83.44522599326432
2019-06-21,47.25359464128152,132.0,-84.74640535871848
2019-08-15,46.48998968521257,133.0,-86.51001031478742
2021-08-15,45.756645581418475,134.0,-88.24335441858153
2020-03-29,45.56588415126698,135.0,-89.43411584873303
2019-06-25,45.461866355151805,136.0,-90.53813364484819
2020-10-18,45.40836616252626,137.0,-91.59163383747375
2019-01-12,45.299501659065214,138.0,-92.70049834093479
2021-06-05,45.21959312513204,139.0,-93.78040687486796
2021-09-12,44.929287782569254,140.0,-95.07071221743075
2021-10-12,44.73479811599786,141.0,-96.26520188400214
2021-07-31,44.6953409472206,142.0,-97.3046590527794
2021-02-21,44.64358059825767,143.0,-98.35641940174233
2020-09-27,44.6266792598208,144.0,-99.3733207401792
2020-10-20,44.59138528837909,145.0,-100.40861471162091
2021-06-27,43.831881392372026,146.0,-102.16811860762797
2020-12-23,43.33124137845328,147.0,-103.66875862154671
2019-08-28,43.32403345470815,148.0,-104.67596654529186
2020-10-16,43.05895584525334,149.0,-105.94104415474666
2019-07-17,43.05547615792809,150.0,-106.9445238420719
2013-08-03,42.75274336063231,151.0,-108.24725663936769
2018-06-17,42.72726707842967,152.0,-109.27273292157034
2013-03-16,42.58155517168529,153.0,-110.4184448283147
2013-09-13,42.2447711484211,154.0,-111.75522885157889
2017-01-14,42.21233549156798,155.0,-112.78766450843202
2019-06-15,42.102103968086304,156.0,-113.89789603191369
2021-02-28,42.09042216063728,157.0,-114.90957783936273
2019-05-24,41.99050542458399,158.0,-116.009494575416
2017-07-08,41.7298395615594,159.0,-117.2701604384406
2019-05-29,41.62973641368511,160.0,-118.37026358631489
2021-03-14,41.623709098139614,161.0,-119.37629090186039
2021-03-28,41.5405072887022,162.0,-120.4594927112978
2020-05-24,41.40983260218475,163.0,-121.59016739781525
2021-06-21,41.303950687859626,164.0,-122.69604931214037
2017-12-17,41.19204145798899,165.0,-123.80795854201101
2020-06-20,40.88104440329576,166.0,-125.11895559670424
2016-07-23,39.68483974797122,167.0,-127.31516025202879
2019-06-05,39.42665937589322,168.0,-128.57334062410678
2021-03-11,39.0358159245405,169.0,-129.9641840754595
2017-08-13,39.01381932966309,170.0,-130.98618067033692
2021-02-06,38.83759802154921,171.0,-132.1624019784508
2020-09-08,38.83275131420334,172.0,-133.16724868579666
2020-10-15,38.41301403059639,173.0,-134.5869859694036
2021-07-18,38.060695688915956,174.0,-135.93930431108404
2019-07-14,38.03981756496452,175.0,-136.96018243503548
2017-11-19,37.73870033678403,176.0,-138.26129966321596
2013-01-05,37.614674338548724,177.0,-139.38532566145128
2016-04-30,37.507860365118624,178.0,-140.49213963488137
2017-07-22,37.320392210471375,179.0,-141.67960778952863
2014-02-22,37.17884350106255,180.0,-142.82115649893746
2020-09-12,37.134166801297425,181.0,-143.86583319870257
2018-10-07,36.98031491170293,182.0,-145.01968508829708
2019-06-26,36.95434153131097,183.0,-146.04565846868903
2014-04-03,36.86759789727466,184.0,-147.13240210272534
2021-10-30,36.66795083698908,185.0,-148.33204916301094
2013-03-02,36.3196092808232,186.0,-149.68039071917678
